"","workerid","scale","degree","stars","judgment","language","exp","compliant","word"
"1","AX1I9MBLJDKGA","memorable_unforgettable","hi",4,0,"English","e8",TRUE,"unforgettable"
"2","AX1I9MBLJDKGA","good_excellent","hi",1,0,"English","e8",TRUE,"excellent"
"3","AX1I9MBLJDKGA","good_excellent","low",3,0,"English","e8",TRUE,"good"
"4","AX1I9MBLJDKGA","memorable_unforgettable","hi",2,0,"English","e8",TRUE,"unforgettable"
"5","AX1I9MBLJDKGA","good_excellent","hi",5,1,"English","e8",TRUE,"excellent"
"6","AX1I9MBLJDKGA","liked_loved","hi",2,0,"English","e8",TRUE,"loved"
"7","AX1I9MBLJDKGA","memorable_unforgettable","low",1,0,"English","e8",TRUE,"memorable"
"8","AX1I9MBLJDKGA","palatable_delicious","hi",2,0,"English","e8",TRUE,"delicious"
"9","AX1I9MBLJDKGA","liked_loved","low",5,1,"English","e8",TRUE,"liked"
"10","AX1I9MBLJDKGA","memorable_unforgettable","hi",1,0,"English","e8",TRUE,"unforgettable"
"11","AX1I9MBLJDKGA","palatable_delicious","low",4,1,"English","e8",TRUE,"palatable"
"12","AX1I9MBLJDKGA","liked_loved","low",1,0,"English","e8",TRUE,"liked"
"13","AX1I9MBLJDKGA","memorable_unforgettable","low",5,1,"English","e8",TRUE,"memorable"
"14","AX1I9MBLJDKGA","palatable_delicious","hi",1,0,"English","e8",TRUE,"delicious"
"15","AX1I9MBLJDKGA","memorable_unforgettable","low",3,0,"English","e8",TRUE,"memorable"
"16","AX1I9MBLJDKGA","liked_loved","low",4,1,"English","e8",TRUE,"liked"
"17","AX1I9MBLJDKGA","memorable_unforgettable","hi",5,1,"English","e8",TRUE,"unforgettable"
"18","AX1I9MBLJDKGA","good_excellent","hi",2,0,"English","e8",TRUE,"excellent"
"19","AX1I9MBLJDKGA","palatable_delicious","hi",3,0,"English","e8",TRUE,"delicious"
"20","AX1I9MBLJDKGA","good_excellent","low",1,0,"English","e8",TRUE,"good"
"21","AX1I9MBLJDKGA","good_excellent","low",4,1,"English","e8",TRUE,"good"
"22","AX1I9MBLJDKGA","some_all","hi",1,0,"English","e8",TRUE,"all"
"23","AX1I9MBLJDKGA","memorable_unforgettable","hi",3,0,"English","e8",TRUE,"unforgettable"
"24","AX1I9MBLJDKGA","good_excellent","low",5,1,"English","e8",TRUE,"good"
"25","AX1I9MBLJDKGA","some_all","hi",4,0,"English","e8",TRUE,"all"
"26","AX1I9MBLJDKGA","some_all","low",2,1,"English","e8",TRUE,"some"
"27","AX1I9MBLJDKGA","liked_loved","hi",5,1,"English","e8",TRUE,"loved"
"28","AX1I9MBLJDKGA","memorable_unforgettable","low",2,0,"English","e8",TRUE,"memorable"
"29","AX1I9MBLJDKGA","good_excellent","low",2,0,"English","e8",TRUE,"good"
"30","AX1I9MBLJDKGA","some_all","low",5,1,"English","e8",TRUE,"some"
"31","AX1I9MBLJDKGA","some_all","low",1,0,"English","e8",TRUE,"some"
"32","AX1I9MBLJDKGA","liked_loved","hi",1,0,"English","e8",TRUE,"loved"
"33","AX1I9MBLJDKGA","palatable_delicious","low",1,0,"English","e8",TRUE,"palatable"
"34","AX1I9MBLJDKGA","palatable_delicious","hi",4,1,"English","e8",TRUE,"delicious"
"35","AX1I9MBLJDKGA","some_all","low",3,1,"English","e8",TRUE,"some"
"36","AX1I9MBLJDKGA","good_excellent","hi",3,0,"English","e8",TRUE,"excellent"
